sid,name,season,basin,start_time,end_time,n_fixes,peak_vmax_kt,min_pmin_hpa,peak_category,made_landfall,had_ri,mean_label_spread_kt,featured_slug
2017104N08085,Maarutha,2017,bay_of_bengal,2017-04-14 00:00:00,2017-04-17 00:00:00,25,40.0,996.0,CS,True,0.0,5.411176470588236,
2016341N08092,Vardah,2016,bay_of_bengal,2016-12-06 06:00:00,2016-12-19 00:00:00,103,70.0,975.0,VSCS,True,0.0,4.159841269841271,
2016335N07088,Nada,2016,bay_of_bengal,2016-11-29 12:00:00,2016-12-02 06:00:00,23,40.0,1000.0,CS,True,0.0,4.3466666666666685,
2016308N13088,Unnamed,2016,bay_of_bengal,2016-11-02 18:00:00,2016-11-06 09:00:00,30,25.0,1000.0,D,False,0.0,,
2016295N13089,Kyant,2016,bay_of_bengal,2016-10-21 00:00:00,2016-10-29 06:00:00,67,40.0,996.0,CS,False,0.0,4.014893617021276,
2016230N21089,Unnamed,2016,land,2016-08-16 12:00:00,2016-08-20 18:00:00,35,25.0,994.0,D,True,0.0,,
2016222N22089,Unnamed,2016,land,2016-08-09 09:00:00,2016-08-12 18:00:00,28,30.0,994.0,DD,True,0.0,,
2016178N22068,Unnamed,2016,arabian_sea,2016-06-26 06:00:00,2016-06-29 00:00:00,23,37.2,993.0,CS,False,0.0,5.956250000000002,
2016138N10081,Roanu,2016,bay_of_bengal,2016-05-17 00:00:00,2016-05-22 00:00:00,41,45.0,983.0,CS,True,0.0,7.048888888888891,
2015312N11084,Unnamed,2015,bay_of_bengal,2015-11-08 03:00:00,2015-11-10 03:00:00,17,30.0,996.0,DD,True,0.0,,
2015309N14067,Megh,2015,arabian_sea,2015-11-04 12:00:00,2015-11-10 12:00:00,49,95.0,964.0,ESCS,True,1.0,10.666666666666666,
2015301N11065,Chapala,2015,arabian_sea,2015-10-27 12:00:00,2015-11-04 00:00:00,61,115.0,940.0,ESCS,True,1.0,5.561851851851852,
2015280N13071,Unnamed,2015,arabian_sea,2015-10-07 00:00:00,2015-10-12 00:00:00,41,30.0,1000.0,DD,False,0.0,4.371052631578947,
2015259N20084,Unnamed,2015,land,2015-09-16 03:00:00,2015-09-19 00:00:00,24,30.0,996.0,DD,True,0.0,,
2015216N23081,Unnamed,2015,land,2015-08-04 03:00:00,2015-08-04 18:00:00,6,25.0,998.0,D,True,,,
2015209N26072,Unnamed,2015,land,2015-07-27 12:00:00,2015-07-30 00:00:00,21,30.0,994.0,DD,True,0.0,,
2015207N22091,Komen,2015,bay_of_bengal,2015-07-26 00:00:00,2015-08-02 09:00:00,60,40.0,986.0,CS,True,0.0,3.004347826086958,
2015191N23085,Unnamed,2015,land,2015-07-10 03:00:00,2015-07-12 09:00:00,19,25.0,994.0,D,True,0.0,,
2015173N20067,Unnamed,2015,land,2015-06-22 03:00:00,2015-06-24 18:00:00,22,30.0,988.0,DD,True,0.0,,
2015171N18086,Unnamed,2015,bay_of_bengal,2015-06-20 03:00:00,2015-06-21 18:00:00,14,25.0,990.0,D,True,0.0,,
2015157N13069,Ashobaa,2015,arabian_sea,2015-06-06 06:00:00,2015-06-12 06:00:00,49,45.0,990.0,CS,False,0.0,6.772380952380954,
2014309N13088,Unnamed,2014,bay_of_bengal,2014-11-05 00:00:00,2014-11-09 06:00:00,35,30.0,998.0,DD,False,0.0,4.025,
2014297N11062,Nilofar,2014,arabian_sea,2014-10-23 21:00:00,2014-11-01 09:00:00,69,110.0,950.0,ESCS,False,1.0,6.274897959183675,
2014279N11096,Hudhud,2014,bay_of_bengal,2014-10-06 09:00:00,2014-10-14 09:00:00,65,100.0,950.0,ESCS,True,1.0,6.972500000000002,
2014216N21089,Unnamed,2014,land,2014-08-03 12:00:00,2014-08-07 00:00:00,29,30.0,990.0,DD,True,0.0,,
2014202N22087,Unnamed,2014,land,2014-07-21 03:00:00,2014-07-23 06:00:00,18,25.0,988.0,D,True,0.0,,
2014159N12068,Nanauk,2014,arabian_sea,2014-06-08 06:00:00,2014-06-14 03:00:00,48,45.0,986.0,CS,False,0.0,10.719666666666667,
2014141N16091,Unnamed,2014,bay_of_bengal,2014-05-21 03:00:00,2014-05-23 00:00:00,16,25.0,1000.0,D,False,0.0,,
2014003N08086,Unnamed,2014,bay_of_bengal,2014-01-02 21:00:00,2014-01-08 12:00:00,46,27.900000000000002,999.0,D,True,0.0,6.922916666666669,
2013339N09084,Madi,2013,bay_of_bengal,2013-12-05 03:00:00,2013-12-12 18:00:00,62,65.0,986.0,VSCS,True,1.0,6.673888888888889,
2013324N07103,Lehar,2013,bay_of_bengal,2013-11-20 03:00:00,2013-11-29 00:00:00,63,75.0,980.0,VSCS,True,0.0,4.678780487804879,
2013322N13090,Helen,2013,bay_of_bengal,2013-11-18 00:00:00,2013-11-23 06:00:00,43,55.0,990.0,SCS,True,0.0,7.361612903225809,
